coach_id,coach_name,first_hc_year,n_hc_seasons_tree,repro_fitness,offspring,coach_canon,career_mean_war,career_total_war,n_hc_seasons,gene_aggression,gene_shotgun,gene_tempo,gene_defensive_scheme
john_mckay,John McKay,1976,9,2,Joe Gibbs; Wayne Fontes,john mckay,-0.08432981546190049,-0.7589683391571044,9.0,,,,
jason_garrett,Jason Garrett,2011,9,2,Kellen Moore; Matt Eberflus,jason garrett,0.0266275405883789,0.2396478652954101,9.0,-0.645282967421658,-0.29254219544283816,-0.3585517162771852,-0.7893765525662706
jay_gruden,Jay Gruden,2014,6,2,Kevin O'Connell; Sean McVay,jay gruden,-0.02639170349438984,-0.15835022096633905,6.0,-0.3272960264640836,0.06360771168647385,-0.2929578406513348,0.2543914120488568
jim_fassel,Jim Fassel,1997,7,2,John Fox; Sean Payton,jim fassel,-0.05716122781208582,-0.4001285946846007,7.0,,,,
jerry_burns,Jerry Burns,1986,6,2,Marc Trestman; Pete Carroll,jerry burns,-0.030429082187016815,-0.1825744931221009,6.0,,,,
jim_harbaugh,Jim Harbaugh,2011,6,2,Jim Tomsula; Vic Fangio,jim harbaugh,0.03523276250839234,0.1761638125419617,5.0,-0.03421602638648249,0.0028533377941654114,-0.5353797007456611,-0.7371375389371392
al_saunders,Al Saunders,1986,3,2,Gunther Cunningham; Jim Mora Jr,al saunders,0.1367101011514663,0.2734202023029326,2.0,,,,
steve_spurrier,Steve Spurrier,2002,2,2,Hue Jackson; Marvin Lewis,steve spurrier,-0.07308331131935114,-0.14616662263870228,2.0,,,,
todd_bowles,Todd Bowles,2015,8,2,Dave Canales; Liam Coen,todd bowles,-0.0032504332814897847,-0.022753032970428494,7.0,-0.054635524939394435,0.18947468022082656,-0.29607730814131483,0.9219609039746303
sean_mcdermott,Sean McDermott,2017,9,2,Brian Daboll; David Culley,sean mcdermott,0.02987420948147774,0.2389936758518219,8.0,1.1791778103815653,0.5103580795465584,0.2981998088798562,-0.1760426043104378
steve_mariucci,Steve Mariucci,1997,9,2,Jim Mora Jr; Marty Mornhinweg,steve mariucci,-0.01797194455994499,-0.16174750103950492,9.0,,,,
bruce_arians,Bruce Arians,2013,8,2,Freddie Kitchens; Todd Bowles,bruce arians,0.06781938251852986,0.5425550601482388,8.0,1.3895767667703924,-0.373949548370507,-0.1951078619660962,1.431534210206012
bruce_coslet,Bruce Coslet,1990,8,2,Dick LeBeau; Pete Carroll,bruce coslet,-0.13030563294887537,-1.042445063591003,8.0,,,,
brad_childress,Brad Childress,2006,5,2,Leslie Frazier; Mike Tomlin,brad childress,-0.0828269863128662,-0.414134931564331,5.0,-1.4185435065827832,-1.1190970974681078,-0.8866880567768473,
bobby_petrino,Bobby Petrino,2007,1,2,Hue Jackson; Mike Zimmer,bobby petrino,-0.1592690972805023,-0.1592690972805023,1.0,-1.3717897234663536,0.2997256622174546,-0.1635225698329933,
bill_callahan,Bill Callahan,2002,2,2,Jim Harbaugh; Marc Trestman,bill callahan,-0.04274870455265045,-0.0854974091053009,2.0,-0.0650660728707406,0.2954161212123443,-0.8726592286335432,-1.095468746689589
anthony_lynn,Anthony Lynn,2017,4,2,Nick Sirianni; Shane Steichen,anthony lynn,-0.04391393065452577,-0.17565572261810308,4.0,0.6612657546682581,0.6676294309200662,-0.7301220069928503,-1.6738958564994835
bart_starr,Bart Starr,1975,9,1,Dick LeBeau,bart starr,0.035134204583697835,0.3162078412532805,9.0,,,,
bill_o'brien,Bill O'Brien,2014,7,1,Mike Vrabel,bill o brien,0.02121853402682713,0.14852973818778992,7.0,-0.07803740109815535,0.6050790046389577,0.37381367787966546,0.42276243985789835
bill_peterson,Bill Peterson,1972,2,1,Dan Henning,bill peterson,-0.1187156149029731,-0.2374312298059462,2.0,,,,
bill_arnsparger,Bill Arnsparger,1974,2,1,Marty Schottenheimer,bill arnsparger,-0.06368476152420043,-0.1910542845726013,3.0,,,,
ron_waller,Ron Waller,1973,1,1,Forrest Gregg,ron waller,,,,,,,
bud_wilkinson,Bud Wilkinson,1978,2,1,Jim Hanifan,bud wilkinson,-0.1046803458690643,-0.2093606917381286,2.0,,,,
bud_carson,Bud Carson,1989,2,1,Marc Trestman,bud carson,-0.03959188592433925,-0.0791837718486785,2.0,,,,
