coach_id,coach_name,first_hc_year,n_hc_seasons_tree,repro_fitness,offspring,coach_canon,career_mean_war,career_total_war,n_hc_seasons,gene_aggression,gene_shotgun,gene_tempo,gene_defensive_scheme
brandon_staley,Brandon Staley,2021,3,1,Kellen Moore,brandon staley,-0.026688825384775797,-0.0800664761543274,3.0,1.9803770820717765,0.354749685401935,0.7977338411200976,-0.0648751717937225
bob_hollway,Bob Hollway,1971,2,1,Leeman Bennett,bob hollway,-0.05234596297740935,-0.1046919259548187,2.0,,,,
matt_lafleur,Matt LaFleur,2019,7,1,Nathaniel Hackett,matt lafleur,0.03765096315542857,0.2259057789325714,6.0,1.334403804848259,0.7098420538683655,-1.0757786387876564,-0.926612690280991
matt_patricia,Matt Patricia,2018,3,1,Ben Johnson,matt patricia,-0.020303992462158166,-0.0609119773864745,3.0,0.11681079530340739,0.4016983627070316,-0.19451245373283146,-0.6577497416337951
darryl_rogers,Darryl Rogers,1985,4,1,Wayne Fontes,darryl rogers,-0.042930910348892196,-0.17172364139556878,4.0,,,,
monte_clark,Monte Clark,1976,8,1,Marty Schottenheimer,monte clark,-0.014297381773591028,-0.11437905418872822,8.0,,,,
mike_white,Mike White,1995,2,1,John Fox,mike white,-0.03641666471958165,-0.0728333294391633,2.0,,,,
steve_spagnuolo,Steve Spagnuolo,2009,3,1,Pat Shurmur,steve spagnuolo,-0.18538903196652726,-0.5561670958995818,3.0,-0.4768493933119453,-0.17771407657445323,1.285458268769816,-0.6395661725010542
rod_marinelli,Rod Marinelli,2006,3,1,Adam Gase,rod marinelli,-0.15020655592282608,-0.4506196677684783,3.0,0.07908747637569058,-1.617355692450232,-0.3141093005674543,
jim_haslett,Jim Haslett,2000,6,1,Mike McCarthy,jim haslett,-0.07109740873177842,-0.4265844523906705,6.0,-0.657361684152546,-0.7520307973163778,-0.0804913937224107,
jack_patera,Jack Patera,1976,7,1,Jim Mora Sr,jack patera,-0.1651164165564946,-1.155814915895462,7.0,,,,
jim_caldwell,Jim Caldwell,2009,7,1,Brian Callahan,jim caldwell,0.0024127704756600594,0.016889393329620417,7.0,0.34269950634157187,0.6151907613671285,0.7506273293120016,0.21850425900679316
hue_jackson,Hue Jackson,2011,4,1,Freddie Kitchens,hue jackson,-0.17823233455419543,-0.7129293382167817,4.0,0.22510900407340456,-0.030848916334814055,0.42127205463298584,0.44396051111896323
hugh_campbell,Hugh Campbell,1984,2,1,Jerry Glanville,hugh campbell,-0.09668754537105556,-0.19337509074211112,2.0,,,,
vic_fangio,Vic Fangio,2019,3,1,Brandon Staley,vic fangio,0.0519361605008443,0.1558084815025329,3.0,-0.19901494391161223,-0.0313834805018714,-0.4794716270235404,-0.919681874857697
urban_meyer,Urban Meyer,2021,1,1,Brian Schottenheimer,urban meyer,-0.115309308719635,-0.115309308719635,1.0,-0.1330339994678745,0.1058678008064731,-0.004569817754873,0.4598319784218178
tom_flores,Tom Flores,1979,12,1,Art Shell,tom flores,0.020331084207693733,0.24397301049232478,12.0,,,,
tom_cable,Tom Cable,2009,2,1,Hue Jackson,tom cable,0.0444072633981704,0.0888145267963408,2.0,-0.6454004485012387,-1.298164763721069,-0.5818395931779924,
jim_hanifan,Jim Hanifan,1980,6,1,Rod Dowhower,jim hanifan,0.049483411995569854,0.2969004719734191,6.0,,,,
leeman_bennett,Leeman Bennett,1977,8,1,Jerry Glanville,leeman bennett,-0.03988071933686734,-0.31904575469493873,8.0,,,,
lindy_infante,Lindy Infante,1988,6,1,Dick Jauron,lindy infante,-0.04653833309809363,-0.2792299985885618,6.0,,,,
les_steckel,Les Steckel,1984,1,1,Jerry Burns,les steckel,-0.076060950756073,-0.076060950756073,1.0,,,,
dom_capers,Dom Capers,1995,8,1,Vic Fangio,dom capers,-0.08170631527900696,-0.6536505222320557,8.0,,,,
